Time,Target,Actual,Upper_Limit,Lower_Limit,Violations
0.10,0.2,0.0,0.4,0.0,0
0.20,0.4,0.0,0.8,0.0,0
0.30,0.7,0.0,1.3,0.1,0
0.40,0.9,0.0,1.7,0.1,0
0.50,1.1,0.0,2.1,0.1,0
0.60,1.3,0.0,2.5,0.1,0
0.70,1.6,0.0,3.0,0.2,0
0.80,1.8,0.0,3.4,0.2,0
0.91,2.0,0.0,3.8,0.2,0
1.01,2.3,0.0,4.3,0.3,0
1.11,3.2,0.0,5.2,1.2,0
1.21,4.1,0.0,6.1,2.1,0
1.31,4.9,0.0,6.9,2.9,0
1.41,5.8,0.0,7.8,3.8,0
1.51,6.7,0.0,8.7,4.7,0
1.61,7.6,0.0,9.6,5.6,0
1.71,8.5,0.0,10.5,6.5,0
1.81,9.4,0.0,11.4,7.4,0
1.91,10.3,0.0,12.3,8.3,0
2.01,11.1,0.0,13.1,9.1,0
2.12,11.7,0.0,13.7,9.7,0
2.22,12.3,0.0,14.3,10.3,0
2.32,12.9,0.0,14.9,10.9,0
2.42,13.5,0.0,15.5,11.5,0
2.52,14.1,0.0,16.1,12.1,0
2.62,14.7,0.0,16.7,12.7,0
2.72,15.3,0.0,17.3,13.3,0
2.82,15.9,0.0,17.9,13.9,0
2.92,16.5,0.0,18.5,14.5,0
3.02,17.1,0.0,19.1,15.1,0
3.13,17.3,0.0,19.3,15.3,0
3.23,17.5,0.0,19.5,15.5,0
3.33,17.8,0.0,19.8,15.8,0
3.43,18.0,0.0,20.0,16.0,0
3.53,18.3,0.0,20.3,16.3,0
3.63,18.5,0.0,20.5,16.5,0
3.73,18.7,0.0,20.7,16.7,0
3.83,19.0,0.0,21.0,17.0,0
3.93,19.2,0.0,21.2,17.2,0
4.03,19.6,0.0,21.6,17.6,0
4.13,20.1,0.0,22.1,18.1,0
4.24,20.7,0.0,22.7,18.7,0
4.34,21.2,0.0,23.2,19.2,0
4.44,21.8,0.0,23.8,19.8,0
4.54,22.4,0.0,24.4,20.4,0
4.64,22.9,0.0,24.9,20.9,0
4.74,23.5,0.0,25.5,21.5,0
4.84,24.1,0.0,26.1,22.1,0
4.94,24.6,0.0,26.6,22.6,0
5.04,25.3,0.0,27.3,23.3,0
5.14,26.1,0.0,28.1,24.1,0
5.25,26.8,0.0,28.8,24.8,0
5.35,27.6,0.0,29.6,25.6,0
5.45,28.4,0.0,30.4,26.4,0
5.55,29.2,0.0,31.2,27.2,0
5.65,30.0,0.0,32.0,28.0,0
5.75,30.8,0.0,32.8,28.8,0
5.85,31.5,0.0,33.5,29.5,0
5.95,32.3,0.0,34.3,30.3,0
6.06,32.9,0.0,34.9,30.9,0
6.16,33.2,0.0,35.2,31.2,0
6.26,33.5,0.0,35.5,31.5,0
6.36,33.9,0.0,35.9,31.9,0
6.46,34.2,0.0,36.2,32.2,0
6.56,34.5,0.0,36.5,32.5,0
6.66,34.9,0.0,36.9,32.9,0
6.77,35.2,0.0,37.2,33.2,0
6.87,35.6,0.0,37.6,33.6,0
6.97,35.9,0.0,37.9,33.9,0
7.07,36.1,0.0,38.1,34.1,0
7.17,36.3,0.0,38.3,34.3,0
7.27,36.4,0.0,38.4,34.4,0
7.37,36.6,0.0,38.6,34.6,0
7.47,36.7,0.0,38.7,34.7,0
7.57,36.9,0.0,38.9,34.9,0
7.67,37.0,0.0,39.0,35.0,0
7.77,37.2,0.0,39.2,35.2,0
7.87,37.4,0.0,39.4,35.4,0
7.98,37.5,0.0,39.5,35.5,0
8.08,37.8,0.0,39.8,35.8,0
8.18,38.2,0.0,40.2,36.2,0
8.28,38.5,0.0,40.5,36.5,0
8.38,38.9,6.4,40.9,36.9,0
8.48,39.2,6.4,41.2,37.2,0
8.58,39.6,6.4,41.6,37.6,0
8.68,39.9,6.4,41.9,37.9,0
8.78,40.3,6.4,42.3,38.3,0
8.88,40.7,6.4,42.7,38.7,0
8.99,41.0,6.4,43.0,39.0,0
9.09,41.1,6.4,43.1,39.1,0
9.19,41.2,6.4,43.2,39.2,0
9.29,41.3,6.4,43.3,39.3,0
9.39,41.4,7.0,43.4,39.4,0
9.49,41.5,7.0,43.5,39.5,0
9.59,41.6,7.0,43.6,39.6,0
9.69,41.7,7.0,43.7,39.7,0
9.79,41.8,7.0,43.8,39.8,0
9.89,41.9,7.0,43.9,39.9,0
10.00,42.0,7.0,44.0,40.0,0
10.10,42.0,7.0,44.0,40.0,0
10.20,42.0,7.0,44.0,40.0,0
10.30,42.0,7.6,44.0,40.0,0
10.40,42.0,7.6,44.0,40.0,0
10.50,42.0,7.6,44.0,40.0,0
10.60,42.0,7.6,44.0,40.0,0
10.70,42.0,7.6,44.0,40.0,0
10.81,42.0,7.6,44.0,40.0,0
10.91,42.0,7.6,44.0,40.0,0
11.01,42.0,7.6,44.0,40.0,0
11.11,42.0,7.6,44.0,40.0,0
11.21,42.0,8.2,44.0,40.0,0
11.31,42.0,8.2,44.0,40.0,0
11.41,42.0,8.2,44.0,40.0,0
11.51,42.0,8.2,44.0,40.0,0
11.61,42.0,8.2,44.0,40.0,0
11.72,42.0,8.2,44.0,40.0,0
11.82,42.0,8.2,44.0,40.0,0
11.92,42.0,8.2,44.0,40.0,0
12.02,42.0,8.2,44.0,40.0,0
12.12,41.9,8.5,43.9,39.9,0
12.22,41.9,8.5,43.9,39.9,0
12.32,41.9,8.5,43.9,39.9,0
12.43,41.8,8.5,43.8,39.8,0
12.53,41.8,8.5,43.8,39.8,0
12.63,41.7,8.5,43.7,39.7,0
12.73,41.7,8.5,43.7,39.7,0
12.83,41.6,8.5,43.6,39.6,0
12.93,41.6,8.8,43.6,39.6,0
13.03,41.6,8.8,43.6,39.6,0
13.13,41.5,8.8,43.5,39.5,0
13.23,41.4,8.8,43.4,39.4,0
13.34,41.4,8.8,43.4,39.4,0
13.44,41.3,8.8,43.3,39.3,0
13.54,41.3,8.8,43.3,39.3,0
13.64,41.2,9.9,43.2,39.2,0
13.74,41.2,9.9,43.2,39.2,0
13.84,41.1,9.9,43.1,39.1,0
13.94,41.0,9.9,43.0,39.0,0
14.04,40.9,9.9,42.9,38.9,0
14.14,40.7,9.9,42.7,38.7,0
14.24,40.4,11.3,42.4,38.4,0
14.35,40.2,11.3,42.2,38.2,0
14.45,39.9,11.3,41.9,37.9,0
14.55,39.7,11.3,41.7,37.7,0
14.65,39.4,11.3,41.4,37.4,0
14.75,39.2,11.3,41.2,37.2,0
14.85,38.9,11.8,40.9,36.9,0
14.95,38.7,11.8,40.7,36.7,0
15.05,38.5,11.8,40.5,36.5,0
15.15,38.3,11.8,40.3,36.3,0
15.25,38.2,11.8,40.2,36.2,0
15.36,38.0,11.8,40.0,36.0,0
15.46,37.8,11.7,39.8,35.8,0
15.56,37.7,11.7,39.7,35.7,0
15.66,37.5,11.7,39.5,35.5,0
15.76,37.4,11.7,39.4,35.4,0
15.86,37.2,11.7,39.2,35.2,0
15.96,37.1,11.7,39.1,35.1,0
16.07,36.9,11.7,38.9,34.9,0
16.17,36.8,11.4,38.8,34.8,0
16.27,36.7,11.4,38.7,34.7,0
16.37,36.6,11.4,38.6,34.6,0
16.47,36.5,11.4,38.5,34.5,0
16.57,36.4,11.4,38.4,34.4,0
16.68,36.3,11.4,38.3,34.3,0
16.78,36.2,11.2,38.2,34.2,0
16.88,36.1,11.2,38.1,34.1,0
16.98,36.0,11.2,38.0,34.0,0
17.08,35.8,11.2,37.8,33.8,0
17.18,35.6,11.2,37.6,33.6,0
17.28,35.4,11.2,37.4,33.4,0
17.38,35.2,11.2,37.2,33.2,0
17.49,35.0,10.9,37.0,33.0,0
17.59,34.8,10.9,36.8,32.8,0
17.69,34.6,10.9,36.6,32.6,0
17.79,34.4,10.9,36.4,32.4,0
17.89,34.2,10.9,36.2,32.2,0
17.99,34.0,10.9,36.0,32.0,0
18.09,33.8,10.9,35.8,31.8,0
18.19,33.6,10.6,35.6,31.6,0
18.29,33.4,10.6,35.4,31.4,0
18.39,33.2,10.6,35.2,31.2,0
18.49,33.0,10.6,35.0,31.0,0
18.60,32.8,10.6,34.8,30.8,0
18.70,32.6,10.6,34.6,30.6,0
18.80,32.4,10.6,34.4,30.4,0
18.90,32.2,10.3,34.2,30.2,0
19.00,32.0,10.3,34.0,30.0,0
19.10,31.9,10.3,33.9,29.9,0
19.20,31.8,10.3,33.8,29.8,0
19.30,31.7,10.3,33.7,29.7,0
19.41,31.6,10.3,33.6,29.6,0
19.51,31.5,10.3,33.5,29.5,0
19.61,31.4,10.0,33.4,29.4,0
19.71,31.3,10.0,33.3,29.3,0
19.81,31.2,10.0,33.2,29.2,0
19.91,31.1,10.0,33.1,29.1,0
20.01,31.0,10.0,33.0,29.0,0
20.12,30.9,10.0,32.9,28.9,0
20.22,30.8,10.0,32.8,28.8,0
20.32,30.7,10.0,32.7,28.7,0
20.42,30.6,9.7,32.6,28.6,0
20.52,30.5,9.7,32.5,28.5,0
20.62,30.4,9.7,32.4,28.4,0
20.72,30.3,9.7,32.3,28.3,0
20.82,30.2,9.7,32.2,28.2,0
20.92,30.1,9.7,32.1,28.1,0
21.02,30.0,9.7,32.0,28.0,0
21.13,29.9,9.7,31.9,27.9,0
21.23,29.8,9.4,31.8,27.8,0
21.33,29.7,9.4,31.7,27.7,0
21.43,29.6,9.4,31.6,27.6,0
21.53,29.5,9.4,31.5,27.5,0
21.63,29.4,9.4,31.4,27.4,0
21.73,29.3,9.4,31.3,27.3,0
21.84,29.2,9.4,31.2,27.2,0
21.94,29.1,9.4,31.1,27.1,0
22.04,29.0,9.0,31.0,27.0,0
22.14,28.9,9.0,30.9,26.9,0
22.24,28.8,9.0,30.8,26.8,0
22.34,28.7,9.0,30.7,26.7,0
22.44,28.6,9.0,30.6,26.6,0
22.54,28.5,9.0,30.5,26.5,0
22.64,28.4,9.0,30.4,26.4,0
22.74,28.3,9.0,30.3,26.3,0
22.85,28.2,8.7,30.2,26.2,0
22.95,28.1,8.7,30.1,26.1,0
23.05,28.0,8.7,30.0,26.0,0
23.15,27.9,8.7,29.9,25.9,0
23.25,27.7,8.7,29.7,25.7,0
23.35,27.6,8.7,29.6,25.6,0
23.45,27.5,8.7,29.5,25.5,0
23.55,27.4,8.7,29.4,25.4,0
23.65,27.3,8.7,29.3,25.3,0
23.75,27.2,8.4,29.2,25.2,0
23.86,27.1,8.4,29.1,25.1,0
23.96,27.0,8.4,29.0,25.0,0
24.06,27.0,8.4,29.0,25.0,0
24.16,27.0,8.4,29.0,25.0,0
24.26,27.0,8.4,29.0,25.0,0
24.36,27.0,8.4,29.0,25.0,0
24.46,27.0,8.4,29.0,25.0,0
24.56,27.0,8.4,29.0,25.0,0
24.66,27.0,8.0,29.0,25.0,0
24.77,27.0,8.0,29.0,25.0,0
24.87,27.0,8.0,29.0,25.0,0
24.97,27.0,8.0,29.0,25.0,0
25.07,26.5,8.0,28.5,24.5,0
25.17,25.8,8.0,27.8,23.8,0
25.27,25.1,8.0,27.1,23.1,0
25.37,24.4,8.0,26.4,22.4,0
25.47,23.7,8.0,25.7,21.7,0
25.58,23.0,8.0,25.0,21.0,0
25.68,22.3,7.6,24.3,20.3,0
25.78,21.6,7.6,23.6,19.6,0
25.88,20.9,7.6,22.9,18.9,0
25.98,20.2,7.6,22.2,18.2,0
26.08,19.0,7.6,21.0,17.0,0
26.18,17.8,7.6,19.8,15.8,0
26.29,16.6,7.6,18.6,14.6,0
26.39,15.3,7.6,17.3,13.3,0
26.49,14.1,7.6,16.1,12.1,0
26.59,12.8,7.6,14.8,10.8,0
26.69,11.6,7.2,13.6,9.6,0
26.79,10.4,7.2,12.4,8.4,0
26.89,9.1,7.2,11.1,7.1,0
26.99,7.9,7.2,9.9,5.9,0
27.10,7.1,7.2,9.1,5.1,0
27.20,6.3,7.2,8.3,4.3,0
27.30,5.5,7.2,7.5,3.5,0
27.40,4.7,7.2,6.7,2.7,1
27.50,3.9,7.2,5.9,1.9,1
27.60,3.2,7.2,5.2,1.2,1
27.70,2.4,7.2,4.4,0.4,1
27.80,1.6,6.8,3.6,-0.4,1
27.90,0.8,6.8,2.8,-1.2,1
28.01,0.1,6.8,2.1,-1.9,1
28.11,0.1,6.8,2.1,-1.9,1
28.21,0.1,6.8,2.1,-1.9,1
28.31,0.1,6.8,2.1,-1.9,1
28.41,0.0,6.8,2.0,-2.0,1
28.51,0.0,6.8,2.0,-2.0,1
28.61,0.0,6.8,2.0,-2.0,1
28.71,0.0,6.8,2.0,-2.0,1
28.81,0.0,6.8,2.0,-2.0,1
28.92,0.0,6.8,2.0,-2.0,1
29.02,0.1,6.3,2.1,-1.9,1
29.12,0.5,6.3,2.5,-1.5,1
29.22,0.9,6.3,2.9,-1.1,1
29.32,1.3,6.3,3.3,-0.7,1
29.42,1.7,6.3,3.7,-0.3,1
29.52,2.2,6.3,4.2,0.2,1
29.62,2.6,6.3,4.6,0.6,1
29.72,3.0,6.3,5.0,1.0,1
29.83,3.4,6.3,5.4,1.4,1
29.93,3.8,6.3,5.8,1.8,1
30.03,4.3,6.3,6.3,2.3,1
30.13,5.0,6.3,7.0,3.0,1
30.23,5.8,5.9,7.8,3.8,1
30.33,6.5,5.9,8.5,4.5,1
30.43,7.2,5.9,9.2,5.2,1
30.53,7.9,5.9,9.9,5.9,2
30.64,8.6,5.9,10.6,6.6,2
30.74,9.3,5.9,11.3,7.3,2
30.84,10.0,5.9,12.0,8.0,2
30.94,10.7,5.9,12.7,8.7,2
31.04,11.3,5.9,13.3,9.3,2
31.14,11.7,5.9,13.7,9.7,2
31.24,12.1,5.9,14.1,10.1,2
31.34,12.5,5.9,14.5,10.5,2
31.45,12.9,5.9,14.9,10.9,2
31.55,13.3,5.9,15.3,11.3,2
31.65,13.7,5.3,15.7,11.7,2
31.75,14.0,5.3,16.0,12.0,2
31.85,14.4,5.3,16.4,12.4,2
31.95,14.8,5.3,16.8,12.8,2
32.05,15.1,5.3,17.1,13.1,2
32.15,15.2,5.3,17.2,13.2,2
32.26,15.3,5.3,17.3,13.3,2
32.36,15.4,5.3,17.4,13.4,2
32.46,15.5,5.3,17.5,13.5,2
32.56,15.6,5.3,17.6,13.6,2
32.66,15.7,5.3,17.7,13.7,2
32.76,15.8,5.3,17.8,13.8,2
